Headword,FullFormDisplay,FullFormNormalized,PartOfSpeech,NotesForeign,Meanings,NumberOfMeanings,NotesNative,MnemonicHint,PronunciationText,AudioUrl,ReferenceBook,ReferenceSection,Exercise1Front,Exercise1Back,Exercise2Front,Exercise2Back,Exercise3Front,Exercise3Back,Tags
(C. Cornelius),(C. Cornēlius),(C. Cornelius),,Gallus,Gajus Cornelius Gallus (geb. ca. 70 v. Chr.; Gallus stammte aus niederen Verhältnissen und lernte nach Cäsars Ermordung den Dichter Vergil und Kaiser Augustus kennen. Gallus gilt als Begründer der römischen Elegie.),2,,,,,Campus C,65,,,,,,,
(C. Iulius),(C. Iūlius),(C. Iulius),,"Caesar, Caesaris m","Gajus Julius Cäsar (100–44 v. Chr., röm. Politiker, Feldherr und SchriftstellerI.",3,,,,,Campus C,27;35;51,,,,,,,
(G. Cornelius),(G. Cornēlius),(G. Cornelius),,"Verrēs, Verris m","Verres (römischer Politiker und Statthalter der Provinz Sizilien (um 115 v. Chr. – 43 v. Chr.); erlangte Berühmtheit durch die Anklage der Sizilianer, vertreten durch den jungen Cicero, gegen ihn wegen Erpressung 70 v. Chr.)",4,,,,,Campus C,50,,,,,,,
(Gnaeus),(Gnaeus),(Gnaeus),,Pompeius (Magnus),"Pompejus (106-48 v. Chr., einflussreicher Politiker und Feldherr)",2,,,,,Campus C,52,,,,,,,
(M. Porcius) Cato,"(M. Porcius) Catō, ōnis (Cēnsōrius)","(M. Porcius) Cato, onis (Censorius)",Nomen,m,"Marcus Porcius Cato (röm. Politiker und Schriftsteller, 234-149 v. Chr)",2,,,,,Campus C,48,,,,,,,
(Marcus),(Mārcus),(Marcus),,Antōnius,Antonius (römischer Politiker und Feldherr (um 85 v. Chr.-30 v. Chr.); machte Karriere unter Cäsar und wurde nach seiner Ermordung 44 v. Chr. einer der einflussreichsten Männer Roms),2,,,,,Campus C,62,,,,,,,
(P. Quinctilius),(P. Quinctilius),(P. Quinctilius),,"Vārus, Vārī m","Varus (Feldherr des röm. Kaisers Augustus; verlor 9 n. Chr. die Schlacht im Teutoburger Wald, nachdem er vom Cheruskerfürsten Arminius in einen Hinterhalt gelockt worden war)68. XXIV.",3,,,,,Campus C,69,,,,,,,
(Quintus),(Quintus),(Quintus),,Horatius (Flaccus),"Horaz (röm. Dichter der augusteischen Zeit, 65-8 v. Chr.)",2,,,,,Campus C,64,,,,,,,
(T. Quinctius) Flamininus,(T. Quīnctius) Flāminīnus,(T. Quinctius) Flamininus,,,"Flamininus, römischer Politiker und Feldherr",2,,,,,Campus C,47,,,,,,,
-ne,-ne,-ne,,,(unübersetzt),1,Partikel im direkten Fragesatz,,,,Campus C,13,,,,,,,Top500
-que,-que,-que,Subjunktion,angehängt,und,1,,,,,Campus C,14,,,,,,,Top500
a / ab,ā / ab (m. Abl.),a / ab (m. Abl.),Präposition,Präp. m. Abl.,"von, von ... her",2,,,,,Campus C,16,,,,,,,Top500
abesse,"abesse, absum, āfuī","abesse, absum, afui",,ā m. Abl.,"entfernt sein, abwesend sein, fehlen",3,,,,,Campus C,68,,,,,,,Top500
abire,"abīre, abeō, abiī","abire, abeo, abii",Verb,,weggehen,1,,,,,Campus C,37,,,,,,,Top500
accidere,"accidere, accidō, accidī","accidere, accido, accidi",Verb,,"geschehen, sich ereignen",2,,,,,Campus C,49,,,,,,,Top500
accipere,"accipere, accipiō, accēpī","accipere, accipio, accepi",Verb,,"erhalten, erfahren, annehmen",3,,,,,Campus C,34,,,,,,,Top500
accusare,"accūsāre, accūsō, accūsāvī, accūsātum","accusare, accuso, accusavi, accusatum",Verb,,"anklagen, beschuldigen",2,,,,,Campus C,33,,,,,,,
acer,"ācer, ācris, ācre","acer, acris, acre",Adjektiv,,"energisch, heftig, scharf",3,,,,,Campus C,32,,,,,,,
acerbus,"ācerbus, a, um","acerbus, a, um",Adjektiv,,"bitter, grausam, rücksichtslos",3,,,,,Campus C,57,,,,,,,
ad,ad (m. Akk.),ad (m. Akk.),Präposition,Präp. m. Akk.,"zu, bei, nach, an",4,,,,,Campus C,12,,,,,,,Top500
addere,"addere, addō, addidī","addere, addo, addidi",Verb,,hinzufügen,1,,,,,Campus C,43,,,,,,,
adducere,"addūcere, addūcō, addūxī, adductum","adducere, adduco, adduxi, adductum",Verb,,"heranführen, veranlassen",2,,,,,Campus C,23;55,,,,,,,Top500
adesse,"adesse, adsum, adfuī","adesse, adsum, adfui",Verb,,"da sein, helfen",2,,,,,Campus C,18,,,,,,,Top500
adhuc,adhūc,adhuc,Adverb,Adv.,"bis jetzt, noch",2,,,,,Campus C,3,,,,,,,Top500
adire,"adīre, adeō, adiī, aditum","adire, adeo, adii, aditum",Verb,m. Akk.,"herantreten (an), bitten, aufsuchen",3,,,,,Campus C,37,,,,,,,Top500
adversus,adversus (m. Akk.),adversus (m. Akk.),Präposition,Präp. m. Akk.,gegen,1,,,,,Campus C,59,,,,,,,
aedificare,"aedificāre, aedificō, aedificāvī, aedificātum","aedificare, aedifico, aedificavi, aedificatum",Verb,,bauen,1,,,,,Campus C,11,,,,,,,
aedificium,"aedificium, aedificiī","aedificium, aedificii",Nomen,n,das Gebäude,1,,,,,Campus C,11,,,,,,,
Aegyptus,"Aegyptus, Aegyptī","Aegyptus, Aegypti",Nomen,f,Ägypten (röm. Provinz seit 30 v. Chr.)XVIII.,1,,,,,Campus C,65,,,,,,,
Aeneas,"Aenēās, Aenēae","Aeneas, Aeneae",Nomen,m,Äneas,1,Trojaner und Stammvater der Römer,,,,Campus C,30,,,,,,,
Aeolus,"Aeolus, Aeolī","Aeolus, Aeoli",Nomen,,Äolus,1,Griech. Aiolos; der Gott der Winde,,,,Campus C,6,,,,,,,
aer,"āēr, āeris","aer, aeris",Nomen,m,die Luft,1,,,,,Campus C,55,,,,,,,
aes,"aes, aeris","aes, aeris",Nomen,n,"das Erz, das Geld",2,,,,,Campus C,69,,,,,,,
aes alienum,aes aliēnum,aes alienum,Nomen,,die Schulden,1,,,,,Campus C,69,,,,,,,
aestas,"aestās, aestātis","aestas, aestatis",Nomen,f,der Sommer,1,,,,,Campus C,23,,,,,,,
aestimare,"aestimāre, aestimō, aestimāvī, aestimātum","aestimare, aestimo, aestimavi, aestimatum",Verb,,"einschätzen, beurteilen; m. dopp. Akk. halten für",3,,,,,Campus C,56,,,,,,,
aeternus,"aeternus, a, um","aeternus, a, um",Adjektiv,,ewig,1,,,,,Campus C,60,,,,,,,
Aetna,"Aetna, Aetnae","Aetna, Aetnae",Nomen,,der Ätna,1,Vulkan auf Sizilien,,,,Campus C,10,,,,,,,
afferre,"afferre, afferō, attulī, allātum","afferre, affero, attuli, allatum",,,"bringen, herbeibringen, mitbringen; melden",4,,,,,Campus C,70,,,,,,,
Africa,"Āfrica, Āfricae","Africa, Africae",Nomen,f,Afrika (Die Römer verstanden darunter in erster Linie das ihnen bekannte Nordafrika.)XVII.,1,,,,,Campus C,45;66,,,,,,,
ager,"ager, agrī","ager, agri",Nomen,m,"der Acker, das Feld, das Gebiet",3,,,,,Campus C,15,,,,,,,Top500
agere,"agere, agō, ēgī, āctum","agere, ago, egi, actum",Verb,,"handeln, treiben, verhandeln",3,,,,,Campus C,27,,,,,,,Top500
agmen,"agmen, agminis","agmen, agminis",Nomen,n,"das Heer, der Zug, der Marsch",3,,,,,Campus C,44,,,,,,,Top500
agros colere,agrōs colere,agros colere,,,die Felder bewirtschaften,1,,,,,Campus C,64,,,,,,,
alere,"alere, alō, aluī","alere, alo, alui",Verb,,"ernähren, großziehen",2,,,,,Campus C,42,,,,,,,
Alexander,"Alexander, Alexandrī","Alexander, Alexandri",,,Alexander der Große (König von Makedonien 356-323 v. Chr.),1,,,,,Campus C,38,,,,,,,
alienus,"aliēnus, a, um","alienus, a, um",Adjektiv,,fremd,1,,,,,Campus C,66,,,,,,,Top500
aliter,aliter,aliter,Adverb,Adv.,anders; sonst,2,,,,,Campus C,61,,,,,,,
alius,"alius, alia, aliud","alius, alia, aliud",Adjektiv,,ein anderer,1,,,,,Campus C,29,,,,,,,Top500
Alpes,"Alpēs, Alpium","Alpes, Alpium",Nomen,f Plural,die Alpen,1,,,,,Campus C,44,,,,,,,
altus,"altus, a, um","altus, a, um",Adjektiv,,"hoch, tief",2,,,,,Campus C,25,,,,,,,Top500
amare,"amāre, amō, amāvī, amātum","amare, amo, amavi, amatum",Verb,,lieben,1,,,,,Campus C,8,,,,,,,Top500
ambo,"ambō, ambae, ambō","ambo, ambae, ambo",,,beide (zusammen),1,,,,,Campus C,53,,,,,,,
amica,"amīca, amīcae","amica, amicae",Nomen,f,die Freundin,1,,,,,Campus C,2,,,,,,,
amicitia,"amīcitia, amīcitiae","amicitia, amicitiae",Nomen,f,die Freundschaft,1,,,,,Campus C,43,,,,,,,Top500
amicus,"amīcus, amīcī","amicus, amici",Nomen,m,der Freund,1,,,,,Campus C,4,,,,,,,Top500
amittere,"āmittere, āmittō, āmīsī","amittere, amitto, amisi",Verb,,"aufgeben, verlieren",2,,,,,Campus C,23;27,,,,,,,Top500
amor,"amor, amōris","amor, amoris",Nomen,m,die Liebe,1,,,,,Campus C,19,,,,,,,Top500
amore capi,amore capi,amore capi,,,von Liebe ergriffen werden,1,,,,,Campus C,54,,,,,,,
Amphion,"Amphīōn, Amphīonis","Amphion, Amphionis",,,Amphion (König von Theben; Mann der Niobe),2,,,,,Campus C,56,,,,,,,
amphitheatrum,"amphitheātrum, amphitheātrī","amphitheatrum, amphitheatri",Nomen,,das Amphitheater,1,,,,,Campus C,22,,,,,,,
Amulius,"Amūlius, Amūliī","Amulius, Amulii",Nomen,,Amulius,1,"König von Alba, Bruder des Numitor",,,,Campus C,33,,,,,,,
an,an,an,Nomen,im Fragesatz,oder (etwa),1,,,,,Campus C,24,,,,,,,Top500
animadvertere,"animadvertere, animadvertō, animadvertī, animadversum","animadvertere, animadverto, animadverti, animadversum",Verb,m. AcI / Akk.,bemerken,1,,,,,Campus C,29;54,,,,,,,
animal,"animal, animālis","animal, animalis",Nomen,"n (Abl. Sg. -ī, Nom. / Akk. Plural -ia, Genitiv Plural -ium)","das Lebewesen, das Tier",2,,,,,Campus C,51,,,,,,,
animus,"animus, animī","animus, animi",Nomen,m,"der Geist, der Mut, die Gesinnung",3,,,,,Campus C,19,,,,,,,Top500
annus,"annus, annī","annus, anni",Nomen,n,das Jahr,1,,,,,Campus C,22,,,,,,,Top500
ante,ante (m. Akk.),ante (m. Akk.),Präposition,Präp. m. Akk.,vor,1,,,,,Campus C,12,,,,,,,Top500
antea,anteā,antea,Adverb,Adv.,"vorher, früher",2,,,,,Campus C,24,,,,,,,
Antigona,Antigona,Antigona,,,Antigone (Tochter des Ödipus),1,,,,,Campus C,61,,,,,,,
antiquus,"antīquus, a, um","antiquus, a, um",Adjektiv,,"alt, altertümlich",2,,,,,Campus C,15,,,,,,,
aperire,"aperīre, aperiō, aperuī","aperire, aperio, aperui",Verb,,"aufdecken, öffnen",2,,,,,Campus C,36,,,,,,,
apertus,"apertus, a, um","apertus, a, um",Adjektiv,,"offen, offenkundig",2,,,,,Campus C,43,,,,,,,
Apollo,"Apollō, Apollinis","Apollo, Apollinis",Nomen,m,"Apollo (griech. Apollon; Gott des Lichts, der Musik und Künste sowie der Heilkunst und Weissagung)X.",3,,,,,Campus C,56,,,,,,,
appellare,"appellāre, appellō, appellāvī, appellātum","appellare, appello, appellavi, appellatum",Verb,,"anrufen, anreden; m. dopp. Akk. nennen",3,,,,,Campus C,56,,,,,,,Top500
appetere,"appetere, appetō, appetīvī, appetītum","appetere, appeto, appetivi, appetitum",Verb,,"erstreben, haben wollen; angreifen",3,,,,,Campus C,36,,,,,,,
apud,apud (m. Akk.),apud (m. Akk.),Präposition,Präp. m. Akk.,bei,1,,,,,Campus C,18,,,,,,,Top500
aqua,"aqua, aquae","aqua, aquae",Nomen,,das Wasser,1,,,,,Campus C,6,,,,,,,Top500
ara,"āra, ārae","ara, arae",Nomen,f,der Altar,1,,,,,Campus C,43,,,,,,,
arbor,"arbor, arboris","arbor, arboris",Nomen,f,der Baum,1,,,,,Campus C,39,,,,,,,
arcessere,"arcessere, arcessō, arcessīvī, arcessītum","arcessere, arcesso, arcessivi, arcessitum",Verb,,"herbeirufen, holen",2,,,,,Campus C,35;47,,,,,,,
arena,"arēna, arēnae","arena, arenae",Nomen,f,"der Sand, der Kampfplatz",2,,,,,Campus C,38,,,,,,,
argentum,"argentum, argentī","argentum, argenti",Nomen,n,"das Geld, das Silber",2,,,,,Campus C,45,,,,,,,
Aristoteles,"Aristotelēs, Aristotelis","Aristoteles, Aristotelis",Nomen,m,Aristoteles (griech. Philosoph 384-322 v. Chr.),1,,,,,Campus C,39,,,,,,,
arma,"arma, armōrum","arma, armorum",Nomen,n Plural,"das Gerät, die Waffen",2,,Armee,,,Campus C,26,,,,,,,Top500
Arminius,"Arminius, Arminiī","Arminius, Arminii",Nomen,,"Arminius (Feldherr der Cherusker, eines germanischen Stammes, der die Römer unter der Führung des Varus im Teutoburger Wald 9 n. Chr. besiegte.)",3,,,,,Campus C,68,,,,,,,
ars,"ars, artis","ars, artis",Nomen,f (Genitiv Plural -ium),"die Kunst, die Fertigkeit, die Eigenschaft",3,,,,,Campus C,68,,,,,,,
arx,"arx, arcis","arx, arcis",Nomen,f,die Burg,1,,,,,Campus C,42,,,,,,,
asper,"asper, aspera, asperum","asper, aspera, asperum",,,rau; streng,2,,,,,Campus C,70,,,,,,,
aspicere,"aspicere, aspiciō, aspexī, aspectum","aspicere, aspicio, aspexi, aspectum",Verb,,"erblicken, ansehen",2,,"spicken, Aspekt",,,Campus C,17;33;54,,,,,,,
at,at,at,,,"aber, dagegen, jedoch",3,,,,,Campus C,54,,,,,,,Top500
Athenae,"Athēnae, Athēnārum","Athenae, Athenarum",Nomen,f Plural,Athen,1,,,,,Campus C,40,,,,,,,
atque / ac,atque / ac,atque / ac,,,"und, und auch",2,,,,,Campus C,47,,,,,,,Top500
auctor,"auctor, auctōris","auctor, auctoris",Nomen,m,"der Anführer, der Gründer, der Schriftsteller, der Verfasser",4,,,,,Campus C,39,,,,,,,
auctoritas,"auctōritās, auctōritātis","auctoritas, auctoritatis",Nomen,f,"das Ansehen, der Einfluss, die Macht",3,,,,,Campus C,48,,,,,,,Top500
audacia,"audācia, audāciae","audacia, audaciae",Nomen,f,"die Frechheit, die Kühnheit",2,,,,,Campus C,31,,,,,,,
audire,"audīre, audiō, audīvī, audītum","audire, audio, audivi, auditum",Verb,,hören,1,,Audi hieß früher Horch,,,Campus C,10,,,,,,,Top500
augere,"augēre, augeō, auxī, auctum","augere, augeo, auxi, auctum",Verb,,"vergrößern, vermehren",2,,,,,Campus C,3;28,,,,,,,
Augias,"Augīās, Augiae","Augias, Augiae",Nomen,m,Augias,1,Mythischer König,,,,Campus C,27,,,,,,,
Augusto absente,Augustō absente,Augusto absente,,,in Abwesenheit von Augustus,1,,,,,Campus C,65,,,,,,,
Augustus,"Augustus, Augustī","Augustus, Augusti",Nomen,m,Augustus (erster röm. Kaiser 27 v. Chr.– 14 n. Chr.),1,,,,,Campus C,63,,,,,,,
aureus,"aureus, a, um","aureus, a, um",Adjektiv,,"golden, aus Gold",2,,,,,Campus C,46,,,,,,,
auris,"auris, auris","auris, auris",Nomen,f (Genitiv Plural -ium),das Ohr,1,,,,,Campus C,60,,,,,,,
aurum,"aurum, aurī","aurum, auri",Nomen,n,das Gold,1,,,,,Campus C,67,,,,,,,
aut,aut,aut,,,oder,1,,,,,Campus C,44,,,,,,,Top500
autem,autem,autem,Subjunktion,nachgestellt,"aber, andererseits",2,,,,,Campus C,15,,,,,,,Top500
auxilio,auxiliō,auxilio,,venīre,zu Hilfe kommen,1,,,,,Campus C,42,,,,,,,
auxilio venire,auxiliō venīre,auxilio venire,,,zu Hilfe kommen,1,,,,,Campus C,42,,,,,,,
auxilium,"auxilium, auxiliī","auxilium, auxilii",Nomen,n,die Hilfe,1,,,,,Campus C,15,,,,,,,Top500
Aventinus,"Aventīnus, Aventīnī","Aventinus, Aventini",Nomen,,der Aventin,1,Hügel Roms,,,,Campus C,34,,,,,,,
