Headword,FullFormDisplay,FullFormNormalized,PartOfSpeech,NotesForeign,Meanings,NumberOfMeanings,NotesNative,MnemonicHint,PronunciationText,AudioUrl,ReferenceBook,ReferenceSection,Exercise1Front,Exercise1Back,Exercise2Front,Exercise2Back,Exercise3Front,Exercise3Back,Tags
-ne,-ne,-ne,,,Partikel im dir. Fragesatz (unübersetzt),1,,,,,Campus C1,13,,,,,,,Top500
-que,-que,-que,,angehängt,und,1,,,,,Campus C1,14,,,,,,,Top500
a / ab,ā / ab (m. Abl.),a / ab (m. Abl.),Präposition,Präp. m. Abl.,"von, von ... her",2,,,,,Campus C1,16,,Präp. m. Abl.,,,,,Top500
abire,"abīre, abeō, abiī","abire, abeo, abii",,,weggehen,1,,,,,Campus C1,37,,,,,,,Top500
accipere,"accipere, accipiō, accēpī","accipere, accipio, accepi",Verb,,"erhalten, erfahren, annehmen",3,,,,,Campus C1,34,,,,,,,Top500
accusare,"accūsāre, accūsō","accusare, accuso",Verb,,"anklagen, beschuldigen",2,,,,,Campus C1,33,,,,,,,
acer,"ācer, ācris, ācre","acer, acris, acre",,,"energisch, heftig, scharf",3,,,,,Campus C1,32,,"ācris, ācre",,,,,
ad,ad (m. Akk.),ad (m. Akk.),Präposition,Präp. m. Akk.,"zu, bei, nach, an",4,,,,,Campus C1,12,,Präp. m. Akk.,,,,,Top500
adducere,"addūcere, addūcō","adducere, adduco",Verb,,"heranführen, veranlassen",2,,,,,Campus C1,23,,,,,,,Top500
adesse,"adesse, adsum, adfuī","adesse, adsum, adfui",,,"da sein, helfen",2,,,,,Campus C1,18,,"adsum, affuī",,,,,Top500
adhuc,adhūc,adhuc,Adverb,Adv.,"bis jetzt, noch",2,,,,,Campus C1,3,,,,,,,Top500
adire,"adīre, adeō, adiī","adire, adeo, adii",,m. Akk.,"herantreten (an), bitten, aufsuchen",3,,,,,Campus C1,37,,,,,,,Top500
aedificare,"aedificāre, aedificō","aedificare, aedifico",Verb,,bauen,1,,,,,Campus C1,11,,,,,,,
aedificium,"aedificium, aedificii","aedificium, aedificii",Nomen,,das Gebäude,1,,,,,Campus C1,11,,,,,,,
Aeneas,"Aenēās, Aenēae","Aeneas, Aeneae",Nomen,m,Äneas (Trojaner und Stammvater der Römer),1,,,,,Campus C1,30,,,,,,,
Aeolus,Aeolus,Aeolus,,,Äolus (griech. Aiolos; der Gott der Winde),2,,,,,Campus C1,6,,,,,,,
aestas,"aestās, aestātis","aestas, aestatis",Nomen,f,der Sommer,1,,,,,Campus C1,23,,,,,,,
Aetna,"Aetna, Aetnae","Aetna, Aetnae",Nomen,,der Ätna (Vulkan auf Sizilien),1,,,,,Campus C1,10,,,,,,,
ager,"ager, agrī","ager, agri",Nomen,m,"der Acker, das Feld, das Gebiet",3,,,,,Campus C1,15,,,,,,,Top500
agere,"agere, agō, ēgī, āctum","agere, ago, egi, actum",Verb,,"handeln, treiben, verhandeln",3,,,,,Campus C1,27,,,,,,,Top500
alius,"alius, alia, aliud","alius, alia, aliud",,,ein anderer,1,,,,,Campus C1,29,,,,,,,Top500
altus,"altus, a, um","altus, a, um",Adjektiv,,"hoch, tief",2,,,,,Campus C1,25,,,,,,,Top500
amare,"amāre, amō","amare, amo",Verb,,lieben,1,,,,,Campus C1,8,,,,,,,Top500
amica,"amīca, amīcae","amica, amicae",Nomen,,die Freundin,1,,,,,Campus C1,2,,,,,,,
amicus,"amīcus, amīci","amicus, amici",Nomen,,der Freund,1,,,,,Campus C1,4,,,,,,,Top500
amittere,"āmittere, āmittō, āmīsī","amittere, amitto, amisi",Verb,,"aufgeben, verlieren",2,,,,,Campus C1,23;27,,,,,,,Top500
amor,"amor, amōris","amor, amoris",Nomen,m,die Liebe,1,,,,,Campus C1,19,,,,,,,Top500
amphitheatrum,"amphitheātrum, amphitheātri","amphitheatrum, amphitheatri",Nomen,,das Amphitheater,1,,,,,Campus C1,22,,,,,,,
Amulius,Amūlius,Amulius,,,"Amulius (König von Alba, Bruder des Numitor)",2,,,,,Campus C1,33,,,,,,,
an,an,an,Nomen,im Fragesatz,oder (etwa),1,,,,,Campus C1,24,,,,,,,Top500
animadvertere,"animadvertere, animadvertō, animadvertī","animadvertere, animadverto, animadverti",Verb,m. AcI / Akk.,bemerken,1,,,,,Campus C1,29,,,,,,,
animus,"animus, animi","animus, animi",Nomen,,"der Geist, der Mut, die Gesinnung",3,,,,,Campus C1,19,,,,,,,Top500
annus,"annus, anni","annus, anni",Nomen,,das Jahr,1,,,,,Campus C1,22,,,,,,,Top500
ante,ante,ante,Präposition,Präp. m. Akk.,vor,1,,,,,Campus C1,12,,,,,,,Top500
antea,anteā,antea,Adverb,Adv.,"vorher, früher",2,,,,,Campus C1,24,,,,,,,
antiquus,"antīquus, a, um","antiquus, a, um",Adjektiv,,"alt, altertümlich",2,,,,,Campus C1,15,,,,,,,
aperire,"aperīre, aperiō, aperuī","aperire, aperio, aperui",Verb,,"aufdecken, öffnen",2,,,,,Campus C1,36,,,,,,,
appetere,"appetere, appetō, appetīvī","appetere, appeto, appetivi",Verb,,"verstreben, haben wollen; angreifen",3,,,,,Campus C1,36,,,,,,,
apud,apud,apud,Präposition,Präp. m. Akk.,bei,1,,,,,Campus C1,18,,,,,,,Top500
aqua,"aqua, aquae","aqua, aquae",Nomen,,das Wasser,1,,,,,Campus C1,6,,,,,,,Top500
arcessere,"arcessere, arcessō, arcessīvī","arcessere, arcesso, arcessivi",Verb,,"herbeirufen, holen",2,,,,,Campus C1,35,,,,,,,
arma,"arma, armōrum","arma, armorum",Nomen,n Pl.,"das Gerät, die Waffen",2,,Armee,,,Campus C1,26,,armōrum,,,,,Top500
aspicere,"aspicere, aspiciō, aspexī","aspicere, aspicio, aspexi",Verb,,"erblicken, ansehen",2,,"spicken, Aspekt",,,Campus C1,17,,"aspiciō, aspexī",,,,,
audacia,"audācia, audāciae","audacia, audaciae",Nomen,,"die Frechheit, die Kühnheit",2,,,,,Campus C1,31,,,,,,,
audire,"audīre, audiō, audīvī","audire, audio, audivi",Verb,,hören,1,,Audi hieß früher Horch,,,Campus C1,10,,"audiō, audīvī",,,,,Top500
augere,"augēre, augeō, auxī","augere, augeo, auxi",Verb,,"vergrößern, vermehren",2,,,,,Campus C1,3;28,,,,,,,
Augias,Augīās,Augias,Nomen,m,Augias (mythischer König),1,,,,,Campus C1,27,,,,,,,
autem,autem,autem,,nachgestellt,"aber, andererseits",2,,,,,Campus C1,15,,,,,,,Top500
auxilium,"auxilium, auxilii","auxilium, auxilii",Nomen,,die Hilfe,1,,,,,Campus C1,15,,auxilii,,,,,Top500
Aventinus,"Aventīnus, Aventīni","Aventinus, Aventini",Nomen,,der Aventin (Hügel Roms),1,,,,,Campus C1,34,,,,,,,
avus,"avus, avi","avus, avi",Nomen,,der Großvater,1,,,,,Campus C1,1,,,,,,,
basilica,"basilica, basilicae","basilica, basilicae",Nomen,,"die Markthalle, die Gerichtshalle",2,,,,,Campus C1,12,,,,,,,
beatus,"beātus, a, um","beatus, a, um",Adjektiv,,"glücklich, reich",2,,,,,Campus C1,36,,,,,,,
bellum,"bellum, belli","bellum, belli",Nomen,,der Krieg,1,,,,,Campus C1,29,,,,,,,Top500
bellum gerere,bellum gerere,bellum gerere,,,Krieg führen,1,,,,,Campus C1,29,,,,,,,
bene,bene,bene,Adverb,Adv.,gut,1,,,,,Campus C1,4,,,,,,,Top500
beneficium,"beneficium, beneficii","beneficium, beneficii",Nomen,,die Wohltat,1,,,,,Campus C1,11,,,,,,,
bestia,"bēstia, bēstiae","bestia, bestiae",Nomen,,das (wilde) Tier,1,,,,,Campus C1,21,,,,,,,
bibere,"bibere, bibō, bibī","bibere, bibo, bibi",Verb,,trinken,1,,,,,Campus C1,16;32,,"bibō, bibī",,,,,
bonus,"bonus, a, um","bonus, a, um",Adjektiv,,"gut, tüchtig",2,,Bonbon,,,Campus C1,14,,"bona, bonum",,,,,Top500
cadere,"cadere, cadō, cecidī","cadere, cado, cecidi",Verb,,fallen,1,,,,,Campus C1,26;28,,,,,,,
caedere,"caedere, caedō, cecīdī","caedere, caedo, cecidi",Verb,,"fällen, töten",2,,,,,Campus C1,31,,,,,,,
caelum,"caelum, caeli","caelum, caeli",Nomen,,der Himmel,1,,,,,Campus C1,21,,,,,,,Top500
Campania,Campānia,Campania,,,Kampanien (Landschaft südlich von Rom),1,,,,,Campus C1,16,,,,,,,
campus,"campus, campi","campus, campi",Nomen,,"das Feld, der freie Platz",2,,,,,Campus C1,1,,,,,,,
capere,"capere, capiō, cēpī","capere, capio, cepi",Verb,,"fassen, nehmen, fangen; erobern",4,,"kapieren, kapern",,,Campus C1,17;27,,"capiō, cēpī",,,,,Top500
Capitolium,"Capitōlium, Capitōlii","Capitolium, Capitolii",Nomen,,das Kapitol (bedeutendster Hügel Roms),1,,,,,Campus C1,11,,,,,,,
captivus,"captīvus, captīvi","captivus, captivi",Nomen,,der Kriegsgefangene,1,,,,,Campus C1,9,,,,,,,
carere,"carēre, careō","carere, careo",Verb,m. Abl.,"frei sein von, ohne (etwas) sein, nicht haben",3,,,,,Campus C1,28,,,,,,,
carrus,"carrus, carri","carrus, carri",Nomen,,"der Wagen, der Karren",2,,,,,Campus C1,16,,,,,,,
Carthago,"Carthāgō, Carthāginis","Carthago, Carthaginis",Nomen,f,Karthago (Stadt in Nordafrika),1,,,,,Campus C1,30,,,,,,,
carus,"cārus, a, um","carus, a, um",Adjektiv,,"lieb, teuer, wertvoll",3,,,,,Campus C1,20,,,,,,,
castra,"castra, castrōrum","castra, castrorum",Nomen,n Pl.,das Lager,1,,,,,Campus C1,26,,,,,,,Top500
cedere,"cēdere, cēdō, cessī","cedere, cedo, cessi",Verb,,"gehen, nachgeben, weichen",3,,,,,Campus C1,29,,,,,,,
celer,"celer, celeris, celere","celer, celeris, celere",,,schnell,1,,,,,Campus C1,32,,"celeris, celere",,,,,Top500
cena,"cēna, cēnae","cena, cenae",Nomen,,"die Mahlzeit, das Essen",2,,,,,Campus C1,8,,,,,,,
cenare,"cēnāre, cēnō","cenare, ceno",Verb,,essen,1,,,,,Campus C1,9,,,,,,,
Cerberus,Cerberus,Cerberus,,,Zerberus (der dreiköpfige Höllenhund),1,,,,,Campus C1,28,,,,,,,
certe / certo,certē / certō,certe / certo,Adverb,Adv.,"gewiss, sicherlich",2,,,,,Campus C1,29,,,,,,,
ceteri,"cēterī, ae, a","ceteri, ae, a",,,die übrigen,1,,,,,Campus C1,21,,,,,,,Top500
cibus,"cibus, cibi","cibus, cibi",Nomen,,"die Nahrung, die Speise, das Futter",3,,,,,Campus C1,6,,,,,,,
circum,circum,circum,Präposition,Präp. m. Akk.,"rings um, um ... herum",2,,,,,Campus C1,31,,,,,,,
civis,"cīvis, cīvis","civis, civis",Nomen,m (Gen. Pl. -ium),der Bürger,1,,,,,Campus C1,30,,,,,,,Top500
civitas,"cīvitās, cīvitātis","civitas, civitatis",Nomen,f,"die Gemeinde, der Staat",2,,,,,Campus C1,20,,,,,,,Top500
